Id,LineName,StationName,DistrictName,StationSize,Escalator_Cnt,Elevator_Cnt
123,T4,TOPKAPI,ZEYTİNBURNU,950.549999999999954525264911353588104248046875,0,0
124,T4,FETİHKAPI,FATİH,564,0,0
125,T4,VATAN,EYÜPSULTAN,1057.660000000000081854523159563541412353515625,4,2
126,T4,EDİRNEKAPI,EYÜPSULTAN,2304,4,4
127,T4,ŞEHİTLİK,EYÜPSULTAN,505,0,0
128,T4,DEMİRKAPI,EYÜPSULTAN,505,0,0
129,T4,TOPÇULAR,EYÜPSULTAN,1680,2,1
130,T4,RAMİ,BAYRAMPAŞA,1680,2,1
131,T4,ULUYOL BEREÇ,BAYRAMPAŞA,1680,2,1
132,T4,SAĞMALCILAR,BAYRAMPAŞA,505,0,0
133,T4,BOSNA ÇUKURÇEŞME,BAYRAMPAŞA,505,0,0
134,T4,ALİ FUAT BAŞGİL,BAYRAMPAŞA,1680,2,1
135,T4,TAŞKÖPRÜ,BAYRAMPAŞA,1680,2,1
136,T4,KARADENİZ,BAYRAMPAŞA,1680,2,1
137,T4,METRİS,GAZİOSMANPAŞA,800,0,0
138,T4,CUMHURİYET MAHALLESİ,SULTANGAZİ,960,0,0
139,T4,50. YIL BAŞTABYA,SULTANGAZİ,505,0,0
140,T4,HACIŞÜKRÜ,SULTANGAZİ,960,0,0
141,T4,YENİMAHALLE,SULTANGAZİ,960,0,0
142,T4,SULTANÇİFTLİĞİ,SULTANGAZİ,960,0,0
143,T4,CEBECİ,SULTANGAZİ,960,0,0
144,T4,MESCİD-İ SELAM,SULTANGAZİ,505,0,0
145,T3,İDO -İSKELE,KADIKÖY,0,0,0
146,T3,CAMİİ,KADIKÖY,0,0,0
147,T3,ÇARŞI,KADIKÖY,0,0,0
148,T3,ALTIYOL,KADIKÖY,0,0,0
149,T3,BAHARİYE,KADIKÖY,0,0,0
150,T3,KİLİSE,KADIKÖY,0,0,0
151,T3,MODA İLKOKULU,KADIKÖY,0,0,0
152,T3,MODA CADDESİ,KADIKÖY,0,0,0
153,T3,MÜHÜRDAR,KADIKÖY,0,0,0
154,T3,DAMGA SOKAK,KADIKÖY,0,0,0
155,TF1,EYÜP ,EYÜP,0,0,1
156,TF1,PİYERLOTİ,EYÜP,0,2,1
157,TF2,MAÇKA,ŞİŞLİ,0,0,0
158,TF2,TAŞKIŞLA,ŞİŞLİ,0,0,0
159,M7,KABATAŞ ,BEYOĞLU,15993.600000000000363797880709171295166015625,15,6
160,M7,BEŞİKTAŞ,BEŞİKTAŞ,10429.29999999999927240423858165740966796875,10,8
161,M7,YILDIZ,BEŞİKTAŞ,16542,20,10
162,M7, FULYA - DARPHANE,BEŞİKTAŞ,13461.20000000000072759576141834259033203125,15,9
163,M7,MECİDİYEKÖY,ŞİŞLİ,20835.61999999999898136593401432037353515625,29,11
164,M7,ÇAĞLAYAN,ŞİŞLİ,15157.29999999999927240423858165740966796875,16,15
165,M7,KAĞITHANE,KAĞITHANE,5281,8,4
166,M7,NURTEPE,KAĞITHANE,14008.6800000000002910383045673370361328125,14,9
167,M7, ALİBEYKÖY,EYÜP,4368,8,4
168,M7,ÇIRÇIR ,EYÜP,12464.360000000000582076609134674072265625,14,9
169,M7, VEYSEL KARANİ,EYÜP,12624.360000000000582076609134674072265625,16,11
170,M7,YEŞİLPINAR ,EYÜP,12871,10,4
171,M7,KAZIM KARABEKİR,GAZİOSMANPAŞA,12990,16,5
172,M7,YENİMAHALLE ,GAZİOSMANPAŞA,10820,10,3
173,M7,KARADENİZ MAHALLESİ,ESENLER,16253.5,26,14
174,M7,GİYİMKENT-TEKSTİLKENT,ESENLER,12528.5,15,3
175,M7,ORUÇ REİS (YÜZYIL ),BAĞCILAR,14388,10,8
176,M7,GÖZTEPE,BAĞCILAR,10636,14,4
177,M7,MAHMUTBEY,BAĞCILAR,13851.1800000000002910383045673370361328125,19,2
